City,Cloudiness (%),Country,Date,Humidity (%),Latitude,Longitude,Temperature,Wind Speed (MPH)
Port Elizabeth,75.0,ZA,,94.0,-33.918,,,16.11
Yamada,0.0,JP,,69.0,39.4667,,,0.43
Upernavik,100.0,GL,,81.0,72.7868,,,8.66
Vardø,100.0,NO,,96.0,70.3705,,,20.71
Babylon,1.0,US,,54.0,40.6957,,,6.91
Albany,25.0,US,,74.0,42.6001,,,7.45
Tuktoyaktuk,40.0,CA,,84.0,69.4541,,,14.97
Atuona,3.0,PF,,74.0,-9.8,,,11.23
Yellowknife,20.0,CA,,77.0,62.456,,,8.05
Butaritari,0.0,KI,,76.0,3.0707,,,13.04
Bambous Virieux,75.0,MU,,73.0,-20.3428,,,8.05
Lompoc,1.0,US,,72.0,34.6391,,,9.22
Westport,100.0,US,,60.0,41.1415,,,11.59
Vaini,75.0,TO,,79.0,-21.2,,,9.22
Torbay,90.0,CA,,93.0,47.6666,,,28.77
Hilo,90.0,US,,65.0,19.7297,,,8.84
Salamiyah,0.0,SY,,59.0,35.0113,,,9.28
Amapá,21.0,BR,,98.0,1.0,,,3.15
Rudnogorsk,76.0,RU,,88.0,57.2639,,,3.0
Hobyo,100.0,SO,,75.0,5.3505,,,17.11
Ponta do Sol,20.0,PT,,72.0,32.6667,,,2.3
Korla,84.0,CN,,85.0,41.7597,,,1.25
Constitución,100.0,CL,,91.0,-35.3333,,,6.82
Bariloche,40.0,AR,,43.0,-41.1456,,,19.57
Comodoro Rivadavia,0.0,AR,,20.0,-45.8667,,,10.36
George Town,20.0,MY,,88.0,5.4112,,,2.3
Hasaki,90.0,JP,,65.0,35.7333,,,6.91
Tutóia,100.0,BR,,82.0,-2.7619,,,13.65
Santa Cruz de la Sierra,90.0,BO,,88.0,-17.8,,,8.05
Nuquí,99.0,CO,,81.0,5.7125,,,3.71
New Norfolk,7.0,AU,,56.0,-42.7826,,,10.0
Mar del Plata,90.0,AR,,88.0,-38.0023,,,17.27
Prince Rupert,1.0,CA,,25.0,54.3161,,,10.36
Kaitangata,3.0,NZ,,57.0,-46.2817,,,10.0
Balatonboglár,75.0,HU,,68.0,46.7752,,,16.11
Buta,9.0,CD,,43.0,2.7858,,,0.94
Jamestown,1.0,US,,73.0,42.097,,,4.61
San Luis Potosí,20.0,MX,,8.0,22.5,,,16.11
East London,100.0,ZA,,83.0,-33.0153,,,14.58
Roald,0.0,NO,,54.0,62.5833,,,10.36
Barra de Tecoanapa,0.0,MX,,78.0,16.5167,,,8.61
Thompson,75.0,CA,,76.0,55.7435,,,2.3
Oktyabr'skiy,95.0,RU,,95.0,54.4815,,,3.42
Pierre,90.0,US,,71.0,44.3683,,,8.05
Provideniya,20.0,RU,,65.0,64.3833,,,29.08
Mayo,90.0,US,,75.0,38.8876,,,5.75
Rotifunk,100.0,SL,,89.0,8.2333,,,2.24
Laas,0.0,IT,,85.0,46.6166,,,9.22
Kavaratti,24.0,IN,,57.0,10.5669,,,6.4
Arraial do Cabo,40.0,BR,,94.0,-22.9661,,,6.91
Almeirim,100.0,BR,,93.0,-1.5233,,,4.56
Yeppoon,97.0,AU,,42.0,-23.1333,,,8.05
Hermanus,96.0,ZA,,88.0,-34.4187,,,9.01
Dikson,100.0,RU,,90.0,73.5069,,,6.4
Hobart,40.0,AU,,40.0,-42.8794,,,24.16
Nikolskoye,75.0,RU,,85.0,59.7035,,,8.95
Glasgow,0.0,GB,,80.0,55.8652,,,11.5
Ivanteyevka,90.0,RU,,78.0,55.9711,,,8.95
Bathsheba,40.0,BB,,61.0,13.2167,,,17.27
Kapaa,1.0,US,,60.0,22.0752,,,6.91
Talnakh,91.0,RU,,87.0,69.4865,,,2.21
Mount Isa,98.0,AU,,46.0,-20.7333,,,13.8
Iranshahr,0.0,IR,,14.0,27.2025,,,6.91
Aginskoye,31.0,RU,,88.0,51.1,,,19.46
Avarua,32.0,CK,,69.0,-21.2078,,,3.44
Faanui,0.0,PF,,65.0,-16.4833,,,9.84
Turukhansk,0.0,RU,,82.0,65.8167,,,5.14
Lavrentiya,0.0,RU,,81.0,65.5833,,,12.91
Airai,51.0,TL,,78.0,-8.9266,,,1.3
Matara,50.0,LK,,89.0,5.9485,,,2.53
Geraldton,0.0,AU,,43.0,-28.7667,,,11.5
Halifax,30.0,CA,,68.0,44.6453,,,6.91
Merauke,89.0,ID,,83.0,-8.4667,,,7.78
Barrow,1.0,US,,83.0,71.2906,,,9.22
Bratislava,20.0,SK,,62.0,48.1482,,,6.91
Ribeira Grande,100.0,PT,,86.0,38.5167,,,44.2
Puerto Ayora,91.0,EC,,98.0,-0.7393,,,7.38
Kerema,89.0,PG,,82.0,-7.9631,,,13.4
Kirakira,100.0,SB,,79.0,-10.4544,,,8.43
Codrington,96.0,AU,,61.0,-38.2667,,,12.06
Kahului,20.0,US,,50.0,20.8947,,,16.11
Port Antonio,75.0,JM,,65.0,18.18,,,10.36
Deniliquin,100.0,AU,,73.0,-35.5333,,,1.01
Safaga,0.0,EG,,44.0,26.7292,,,5.75
Lüderitz,43.0,NA,,88.0,-26.6481,,,4.65
Buin,0.0,CL,,77.0,-33.7333,,,12.66
Hamilton,100.0,US,,68.0,39.1834,,,1.99
Benguela,100.0,AO,,82.0,-12.5763,,,4.99
Palana,0.0,RU,,90.0,59.1167,,,14.92
Laguna,90.0,US,,76.0,38.421,,,5.75
Sarangani,75.0,PH,,77.0,5.4033,,,11.45
Aklavik,40.0,CA,,70.0,68.2191,,,12.66
Cape Town,75.0,ZA,,94.0,-33.9258,,,11.5
Tucumcari,1.0,US,,42.0,35.1717,,,17.27
Egvekinot,0.0,RU,,85.0,66.3167,,,10.65
Hithadhoo,68.0,MV,,80.0,-0.6,,,11.86
Henties Bay,82.0,NA,,87.0,-22.116,,,4.23
Severo-Kuril'sk,100.0,RU,,93.0,50.6789,,,5.59
Itoman,75.0,JP,,77.0,26.1247,,,19.57
Grindavik,75.0,IS,,81.0,63.8424,,,21.85
Waingapu,73.0,ID,,68.0,-9.6567,,,4.14
Huilong,100.0,CN,,81.0,31.8111,,,8.01
Mwadui,100.0,TZ,,95.0,-3.55,,,3.94
Saint-Joseph,0.0,RE,,65.0,-21.3667,,,13.8
Kumano,0.0,JP,,70.0,34.3442,,,6.91
Tromsø,90.0,NO,,100.0,69.6496,,,28.77
Kuruman,45.0,ZA,,88.0,-27.4524,,,2.71
Hirara,75.0,JP,,83.0,24.8,,,13.8
Bulgan,100.0,MN,,81.0,48.8125,,,2.89
Hong Kong,0.0,HK,,72.0,22.2855,,,6.26
Kaeo,0.0,NZ,,49.0,-35.1,,,1.01
Ayan,99.0,RU,,96.0,56.45,,,3.47
Uniontown,100.0,US,,52.0,39.9001,,,1.01
Lata,32.0,PT,,91.0,40.1629,,,1.99
Antofagasta,0.0,CL,,73.0,-23.65,,,8.05
Zelenoborskiy,76.0,RU,,93.0,66.845,,,1.54
Wisconsin Rapids,90.0,US,,71.0,44.3836,,,5.75
Souillac,75.0,MU,,73.0,-20.5167,,,8.05
Itarema,100.0,BR,,83.0,-2.9248,,,10.71
Juegang,46.0,CN,,86.0,32.3174,,,8.5
Sherlovaya Gora,19.0,RU,,94.0,50.5667,,,12.82
Amahai,100.0,ID,,69.0,-3.3333,,,0.54
Meulaboh,89.0,ID,,84.0,4.1363,,,5.3
Honiara,100.0,SB,,86.0,-9.4333,,,9.78
Karratha,62.0,AU,,65.0,-20.7377,,,11.61
Husavik,0.0,IS,,79.0,66.0449,,,5.75
Mildura,90.0,AU,,68.0,-34.2,,,9.22
Fairbanks,75.0,US,,53.0,64.8378,,,3.31
Saint-Pierre,0.0,RE,,65.0,-21.3393,,,13.8
Tuatapere,0.0,NZ,,68.0,-46.1333,,,8.99
Cidreira,100.0,BR,,80.0,-30.1811,,,12.75
Chifeng,0.0,CN,,90.0,42.2683,,,6.26
Te Anau,0.0,NZ,,41.0,-45.4167,,,1.54
Puerto del Rosario,20.0,ES,,77.0,28.5004,,,12.66
Zhezkazgan,100.0,KZ,,88.0,47.8043,,,6.38
Byron Bay,40.0,AU,,53.0,-28.65,,,4.61
Kavieng,80.0,PG,,72.0,-2.5744,,,5.44
Atkarsk,100.0,RU,,98.0,51.8718,,,5.73
Iaçu,5.0,BR,,74.0,-12.7672,,,5.1
Verkhoyansk,0.0,RU,,83.0,67.5447,,,1.34
Chiredzi,95.0,ZW,,84.0,-21.05,,,4.83
Umba,12.0,RU,,91.0,66.6871,,,0.83
Darnah,0.0,LY,,76.0,32.767,,,19.13
Trhové Sviny,86.0,CZ,,87.0,48.8423,,,1.79
Mufumbwe,100.0,ZM,,96.0,-13.6833,,,3.58
Bluff,6.0,NZ,,68.0,-46.6,,,8.99
Port Shepstone,0.0,ZA,,84.0,-30.7414,,,12.3
Road Town,40.0,VG,,73.0,18.4167,,,10.36
Gusinoye Ozero,29.0,RU,,84.0,51.1144,,,4.94
Mount Holly,90.0,US,,87.0,35.2982,,,10.36
Port Hawkesbury,90.0,CA,,57.0,45.6169,,,14.97
Plettenberg Bay,100.0,ZA,,84.0,-34.0527,,,0.98
La Asuncion,100.0,VE,,82.0,11.0333,,,16.75
Bilibino,0.0,RU,,77.0,68.0546,,,3.89
Lokosovo,54.0,RU,,86.0,61.1333,,,7.29
Tarauacá,100.0,BR,,97.0,-8.1614,,,2.53
Leningradskiy,100.0,RU,,87.0,69.3833,,,11.9
Kruisfontein,100.0,ZA,,88.0,-34.0033,,,1.01
Matanzas,75.0,CU,,88.0,23.0411,,,6.91
The Valley,20.0,AI,,65.0,18.217,,,11.5
Dolores,100.0,AR,,83.0,-36.3132,,,8.75
Kotka,90.0,FI,,85.0,60.4664,,,6.91
Camacupa,100.0,AO,,76.0,-12.0167,,,5.37
Nizhniy Ingash,100.0,RU,,88.0,56.2,,,7.74
Lorengau,78.0,PG,,73.0,-2.0226,,,5.44
Cabo San Lucas,20.0,MX,,64.0,22.8909,,,11.5
Noshiro,20.0,JP,,93.0,40.2039,,,4.88
Palestine,0.0,PS,,87.0,31.9216,,,4.61
Sibsāgar,40.0,IN,,82.0,26.9833,,,0.45
Mogadouro,98.0,PT,,94.0,41.3403,,,5.01
Ranipur,94.0,PK,,30.0,27.2879,,,4.0
San Joaquin,90.0,US,,55.0,37.9333,,,4.61
Disna,100.0,BY,,93.0,55.568,,,12.59
Tambo Grande,100.0,PE,,62.0,-4.9269,,,10.18
Berdyaush,100.0,RU,,91.0,55.1619,,,3.87
Cayenne,75.0,GF,,100.0,4.9333,,,12.86
Touros,20.0,BR,,78.0,-5.1989,,,9.22
Isangel,99.0,VU,,67.0,-19.55,,,0.45
Necochea,75.0,AR,,86.0,-38.5473,,,4.0
Kovūr,100.0,IN,,79.0,14.4833,,,2.95
Marawi,46.0,PH,,85.0,7.9986,,,1.01
Zhigansk,99.0,RU,,90.0,66.7697,,,3.38
Dingle,86.0,PH,,81.0,10.9995,,,1.99
Kieta,100.0,PG,,79.0,-6.2167,,,7.2
Kaifeng,0.0,CN,,93.0,34.7911,,,2.24
Yar-Sale,98.0,RU,,88.0,66.8333,,,8.39
Vao,25.0,NC,,79.0,-22.6667,,,6.46
Talara,97.0,PE,,86.0,-4.5772,,,6.89
Mossamedes,84.0,AO,,78.0,-15.1961,,,1.25
Samarai,10.0,PG,,67.0,-10.6167,,,5.55
Iqaluit,90.0,CA,,78.0,63.7506,,,21.85
Gornopravdinsk,0.0,RU,,86.0,60.05,,,2.59
Great Falls,1.0,US,,68.0,47.5002,,,9.22
Nadvoitsy,88.0,RU,,93.0,63.8667,,,4.29
Sabang,0.0,ID,,73.0,5.8933,,,3.4
Ostrovnoy,100.0,RU,,91.0,68.0531,,,4.45
Vitim,100.0,RU,,87.0,59.4511,,,1.72
Picota,75.0,PE,,78.0,-6.9197,,,4.61
Shingū,75.0,JP,,53.0,33.7333,,,9.22
Kosai,100.0,JP,,54.0,34.7105,,,4.63
Whitianga,0.0,NZ,,42.0,-36.8333,,,4.23
Kargil,0.0,IN,,69.0,34.5667,,,1.59
Sitka,1.0,US,,25.0,57.0531,,,4.61
Buşayrā,0.0,JO,,48.0,30.7376,,,3.31
Shumskiy,100.0,RU,,87.0,54.8318,,,2.89
Garoua,0.0,CM,,21.0,9.3,,,2.24
Vila Franca do Campo,40.0,PT,,88.0,37.7167,,,24.16
Saint George,1.0,US,,25.0,37.1041,,,11.5
Kiama,0.0,AU,,60.0,-34.6833,,,5.75
Zhanakorgan,95.0,KZ,,82.0,43.9098,,,5.57
Goderich,100.0,CA,,73.0,43.7501,,,8.05
Clyde River,98.0,CA,,92.0,70.4692,,,27.63
Yanam,92.0,IN,,88.0,16.7333,,,4.61
Esmeraldas,75.0,BR,,94.0,-19.7625,,,4.61
Yumen,100.0,CN,,77.0,40.2833,,,15.68
Cabra,90.0,ES,,100.0,37.4725,,,2.3
Swellendam,100.0,ZA,,88.0,-34.0226,,,3.44
Port Blair,97.0,IN,,70.0,11.6667,,,12.3
Acapulco de Juárez,1.0,MX,,69.0,16.8634,,,11.5
Ati,0.0,TD,,22.0,13.2154,,,7.83
Mogadishu,80.0,SO,,83.0,2.0371,,,16.84
Moshenskoye,100.0,RU,,91.0,58.5102,,,5.5
Katsuura,0.0,JP,,53.0,35.1333,,,8.05
Petropavlovsk-Kamchatskiy,87.0,RU,,54.0,53.0452,,,4.47
Zunyi,15.0,CN,,78.0,27.6867,,,0.67
Saldanha,10.0,ZA,,88.0,-33.0117,,,8.05
Puerto Ayacucho,0.0,VE,,49.0,5.6639,,,8.25
Bilma,0.0,NE,,20.0,18.6853,,,9.62
Nhulunbuy,75.0,AU,,79.0,-12.2333,,,8.05
Cavalcante,97.0,BR,,88.0,-13.7975,,,3.76
Karaton,40.0,ID,,89.0,-6.3424,,,6.91
Quatre Cocos,75.0,MU,,73.0,-20.2078,,,8.05
Inhambane,14.0,MZ,,86.0,-23.865,,,12.84
Wakefield,3.0,GB,,84.0,53.6809,,,1.99
Ambanja,75.0,MG,,89.0,-13.6833,,,2.93
Nandurbar,0.0,IN,,27.0,21.3667,,,3.94
Margate,0.0,GB,,63.0,51.3813,,,4.0
Sharkan,45.0,RU,,80.0,57.2989,,,4.0
Tonekābon,20.0,IR,,100.0,36.8163,,,2.3
Aljezur,100.0,PT,,92.0,37.3191,,,5.21
Saskylakh,100.0,RU,,86.0,71.9167,,,3.91
Imeni Poliny Osipenko,100.0,RU,,93.0,52.4201,,,1.21
Lishui,100.0,CN,,85.0,28.4604,,,1.14
Três Lagoas,100.0,BR,,76.0,-20.7511,,,8.7
Ixtapa,90.0,MX,,73.0,20.7,,,9.22
Faya,0.0,SA,,57.0,18.3851,,,0.04
Inuvik,100.0,CA,,78.0,68.3499,,,2.3
Khani,0.0,GE,,47.0,41.9563,,,17.27
Imeni Babushkina,100.0,RU,,92.0,59.7573,,,3.09
Marzuq,42.0,YE,,40.0,14.4,,,2.89
Sakakah,0.0,SA,,71.0,29.9697,,,5.75
Borovoy,0.0,RU,,76.0,55.4333,,,6.71
Ancud,40.0,CL,,76.0,-41.8697,,,5.75
Esperance,90.0,AU,,63.0,-33.8667,,,9.22
Noumea,0.0,NC,,70.0,-22.2763,,,10.36
Pangody,9.0,RU,,83.0,65.85,,,4.29
Bria,100.0,CF,,24.0,6.5423,,,4.23
Dzerzhinsk,75.0,RU,,79.0,56.2389,,,4.47
Coyhaique,20.0,CL,,51.0,-45.5752,,,4.61
Huarmey,58.0,PE,,70.0,-10.0681,,,5.17
Greater Sudbury,1.0,CA,,50.0,46.49,,,3.44
Forsytheganj,100.0,BY,,95.0,52.6333,,,16.26
Lashio,3.0,MM,,71.0,22.9333,,,0.81
Bedelē,100.0,ET,,43.0,8.456,,,3.09
Neyshabur,0.0,IR,,47.0,36.2133,,,1.45
Nísia Floresta,20.0,BR,,83.0,-6.0911,,,16.11
Sundumbili,40.0,ZA,,88.0,-29.1337,,,2.3
Jaciara,100.0,BR,,93.0,-15.9653,,,4.61
Flinders,0.0,AU,,60.0,-34.5833,,,5.75
Casa Nova,40.0,BR,,51.0,-9.4167,,,8.05
Makakilo City,1.0,US,,47.0,21.3469,,,9.22
Pandamatenga,100.0,BW,,98.0,-18.5278,,,4.63
Bethel,1.0,US,,46.0,41.3712,,,4.61
Kudahuvadhoo,0.0,MV,,77.0,2.6708,,,15.12
São Gonçalo do Amarante,100.0,BR,,74.0,-3.6072,,,24.0
Safi,0.0,MA,,86.0,32.2994,,,11.56
Umluj,99.0,SA,,50.0,25.0213,,,3.91
Ilulissat,75.0,GL,,72.0,69.2167,,,14.97
Port Keats,88.0,AU,,75.0,-14.25,,,9.08
Rio Claro,100.0,BR,,82.0,-22.4114,,,1.01
Kearney,90.0,US,,78.0,40.6995,,,9.22
Olinda,75.0,BR,,65.0,-8.0089,,,10.36
Xique-Xique,100.0,BR,,65.0,-10.8218,,,8.16
Riyadh,0.0,SA,,37.0,24.6877,,,2.3
Richards Bay,100.0,ZA,,92.0,-28.783,,,2.51
Micheweni,100.0,TZ,,78.0,-4.9667,,,11.03
Malé,20.0,MV,,74.0,4.1748,,,14.97
Pauini,100.0,BR,,97.0,-7.7136,,,2.89
Narsaq,75.0,GL,,30.0,60.9167,,,39.12
Barreirinhas,100.0,BR,,80.0,-2.7469,,,10.04
Khovd,0.0,MN,,73.0,48.0056,,,2.66
Koslan,100.0,RU,,90.0,63.4564,,,3.51
Mount Gambier,75.0,AU,,59.0,-37.8333,,,12.66
Deputatsky,100.0,RU,,82.0,69.3,,,2.01
Paraná,89.0,AR,,73.0,-31.732,,,3.0
Sørland,100.0,NO,,76.0,67.667,,,30.47
Yulara,75.0,AU,,94.0,-25.2406,,,6.91
Tsimmerbude,75.0,RU,,73.0,54.675,,,11.18
Grenville,20.0,GD,,73.0,12.1167,,,17.27
Drayton Valley,86.0,CA,,68.0,53.2168,,,8.99
Kawalu,94.0,ID,,79.0,-7.3817,,,0.76
Kasongo,100.0,CD,,97.0,-4.45,,,2.26
Changji,75.0,CN,,93.0,44.0167,,,4.47
Ludvika,90.0,SE,,73.0,60.1496,,,6.91
Sibolga,11.0,ID,,73.0,1.7427,,,2.17
Gizo Government Station,94.0,SB,,79.0,-8.103,,,10.76
Umm Kaddadah,0.0,SD,,28.0,13.6017,,,12.46
Pevek,75.0,RU,,84.0,69.7008,,,1.14
Shahrud,0.0,IR,,55.0,36.4182,,,5.1
Pemba,75.0,MZ,,100.0,-12.974,,,13.8
Novospasskoye,100.0,RU,,95.0,53.1468,,,1.68
Vanimo,59.0,PG,,61.0,-2.6741,,,0.43
Ucluelet,90.0,CA,,52.0,48.9329,,,5.75
Okhotsk,100.0,RU,,89.0,59.3833,,,5.86
Moba,0.0,CN,,77.0,33.2288,,,4.5
Avera,75.0,US,,93.0,33.194,,,5.19
Toowoomba,75.0,AU,,50.0,-27.55,,,6.91
Sisimiut,22.0,GL,,88.0,66.9395,,,8.59
Balabac,9.0,PH,,80.0,7.9868,,,10.76
Houma,90.0,US,,94.0,29.5958,,,13.8
Chongwe,100.0,ZM,,97.0,-15.3292,,,0.96
Aykhal,0.0,RU,,84.0,66.0,,,4.72
Japura,83.0,ID,,87.0,-0.3167,,,2.8
Houndé,0.0,BF,,17.0,11.5,,,4.41
Hihyā,0.0,EG,,94.0,30.6713,,,8.05
Dubbo,100.0,AU,,47.0,-32.25,,,17.27
Norman Wells,20.0,CA,,66.0,65.282,,,3.44
Yaguachi Nuevo,75.0,EC,,83.0,-2.1167,,,4.61
Hervey Bay,90.0,AU,,57.0,-25.2986,,,5.75
Cockburn Town,40.0,TC,,69.0,21.4612,,,13.8
Salalah,0.0,OM,,60.0,17.0151,,,1.14
Hambantota,1.0,LK,,100.0,6.1241,,,3.44
Álamo,20.0,MX,,69.0,20.9167,,,9.22
São João da Barra,100.0,BR,,87.0,-21.6403,,,11.72
Nacala,100.0,MZ,,87.0,-14.5428,,,7.83
Upington,100.0,ZA,,83.0,-28.4478,,,17.27
Camacha,20.0,PT,,88.0,33.0833,,,3.44
Boca do Acre,100.0,BR,,97.0,-8.7522,,,2.57
Rawson,88.0,AR,,44.0,-43.3002,,,28.57
Batagay,0.0,RU,,84.0,67.6333,,,0.74
Srandakan,30.0,ID,,75.0,-7.9386,,,4.74
Ampanihy,100.0,MG,,72.0,-24.7,,,7.7
Port Moresby,40.0,PG,,70.0,-9.4431,,,12.66
Mafinga,100.0,TZ,,96.0,-7.25,,,1.25
Karema,100.0,TZ,,77.0,-6.8205,,,4.99
Port Hardy,75.0,CA,,47.0,50.6996,,,29.93
Mahabalipuram,40.0,IN,,78.0,12.6264,,,2.3
Karauli,78.0,IN,,41.0,26.5,,,4.07
Luangwa,100.0,ZM,,92.0,-15.6167,,,2.13
San Cristobal,36.0,VE,,84.0,7.7669,,,1.81
Shimoda,75.0,JP,,66.0,34.6667,,,11.5
Tocache,100.0,PE,,87.0,-8.1842,,,0.6
Samfya,100.0,ZM,,95.0,-11.3649,,,6.87
Verkhnevilyuysk,92.0,RU,,87.0,63.4453,,,3.53
Nhamundá,76.0,BR,,93.0,-2.1861,,,1.74
Nome,90.0,US,,85.0,64.5011,,,23.02
Stephenville,90.0,US,,86.0,32.2207,,,6.91
Çumra,0.0,TR,,53.0,37.5732,,,11.5
Tamandaré,13.0,BR,,81.0,-8.7597,,,8.37
Tiksi,0.0,RU,,89.0,71.6872,,,7.25
Horsham,0.0,GB,,80.0,51.064,,,10.36
Boralday,90.0,KZ,,100.0,43.3578,,,2.24
Mangai,100.0,CD,,87.0,-4.05,,,0.56
Haines Junction,0.0,CA,,53.0,60.7522,,,1.14
Nikolayevsk-on-Amur,19.0,RU,,94.0,53.1406,,,2.24
Vila Velha,0.0,BR,,88.0,-20.3297,,,3.44
Elko,90.0,US,,46.0,41.0002,,,14.97
Aripuanã,88.0,BR,,98.0,-9.1667,,,1.12
Itaituba,100.0,BR,,96.0,-4.2761,,,1.77
Silifke,1.0,TR,,72.0,36.3778,,,4.54
Svetlaya,100.0,RU,,88.0,46.5389,,,0.69
Chapada dos Guimarães,40.0,BR,,69.0,-15.4606,,,9.22
Yerbogachën,0.0,RU,,85.0,61.2767,,,3.18
Makkah al Mukarramah,0.0,SA,,65.0,21.4267,,,1.81
Banjar,75.0,ID,,94.0,-8.19,,,6.91
Vila,69.0,PT,,96.0,42.0304,,,17.0
Payo,100.0,ID,,93.0,-3.7508,,,1.79
La Paz,75.0,BO,,81.0,-16.5,,,6.91
Belyy Yar,53.0,RU,,75.0,53.6039,,,0.89
Mlonggo,40.0,ID,,89.0,-6.5333,,,1.14
Chernyshevskiy,87.0,RU,,86.0,63.0128,,,3.09
Ahipara,0.0,NZ,,53.0,-35.1667,,,8.7
Carmo do Rio Verde,2.0,BR,,88.0,-15.3536,,,0.67
Dyersburg,20.0,US,,93.0,36.0345,,,11.5
Shishou,0.0,CN,,81.0,29.7226,,,4.29
Khuzhir,100.0,RU,,84.0,53.1939,,,9.04
Neiafu,40.0,TO,,79.0,-18.65,,,10.36
Arrondissement de Cognac,90.0,FR,,87.0,45.5,,,9.22
Arrondissement du Havre,0.0,FR,,64.0,49.5833,,,21.85
Ust-Maya,68.0,RU,,93.0,60.4167,,,6.02
Cukai,40.0,MY,,94.0,4.25,,,1.14
Tual,100.0,ID,,76.0,-5.6667,,,11.3
Fort Nelson,75.0,CA,,60.0,58.8053,,,4.61
Matamoros,40.0,MX,,10.0,25.5333,,,13.24
Zheshart,100.0,RU,,91.0,62.0731,,,4.59
Sergeevka,62.0,KZ,,91.0,53.88,,,5.39
Solon,1.0,US,,73.0,41.3898,,,8.05
Disraeli,80.0,CA,,58.0,45.9001,,,5.99
Paamiut,100.0,GL,,86.0,61.994,,,9.24
Nanortalik,100.0,GL,,88.0,60.1432,,,12.17
Srednekolymsk,0.0,RU,,85.0,67.45,,,5.7
Bengkulu,100.0,ID,,78.0,-3.8004,,,4.16
Ambilobe,85.0,MG,,94.0,-13.2,,,2.24
Klaksvík,20.0,FO,,75.0,62.2266,,,12.66
Nuuk,90.0,GL,,79.0,64.1835,,,14.97
Singaraja,100.0,ID,,72.0,-8.112,,,2.42
La Crosse,90.0,US,,71.0,43.8014,,,9.22
Waipawa,90.0,NZ,,82.0,-41.4122,,,19.57
Abu Kamal,0.0,SY,,61.0,34.4506,,,2.28
Comacchio,100.0,IT,,65.0,44.6975,,,17.27
Nuoro,0.0,IT,,46.0,40.3211,,,2.3
Maniago,5.0,IT,,67.0,46.1706,,,1.01
Marshfield,90.0,US,,60.0,44.6689,,,6.91
La Ronge,100.0,CA,,63.0,55.1001,,,6.91
Broome,75.0,US,,73.0,42.2506,,,11.5
Mana,92.0,GF,,83.0,5.6592,,,12.06
Korčula,20.0,HR,,40.0,42.9622,,,21.85
Pak Phanang,75.0,TH,,94.0,8.3511,,,3.44
Kropotkin,100.0,RU,,78.0,45.4375,,,8.68
Mweka,100.0,CD,,91.0,-4.85,,,1.86
Ibicaraí,0.0,BR,,74.0,-14.865,,,5.75
